day,country,news_count,avg_tone
2025/5/3,US,278513,-0.898874104
2025/5/30,CN,23,0.345500627
2025/5/30,UK,82641,-0.499367711
2025/5/30,US,461128,-0.897610403
2025/5/31,CN,26,0.240650985
2025/5/31,UK,59823,0.134854024
2025/5/31,US,273647,-0.828993357
2025/5/4,CN,318,1.850497533
2025/5/4,UK,89665,-0.823742788
2025/5/4,US,231179,-0.5533224
2025/5/5,CN,140,1.417530894
2025/5/5,UK,77105,0.252814418
2025/5/5,US,469932,-0.991273508
2025/5/6,CN,101,1.944463859
2025/5/6,UK,90655,0.105858671
2025/5/6,US,501054,-0.763637886
2025/5/7,CN,21,-1.727043331
2025/5/7,UK,91149,-0.174861653
2025/5/7,US,499953,-0.781412439
2025/5/8,CN,62,3.219476884
2025/5/8,UK,145329,0.190799877
2025/5/8,US,525103,-0.491083646
2025/5/9,CN,48,2.099473181
2025/5/9,UK,119234,-0.105532417
2025/5/9,US,530479,-0.462684241
2025/6/1,CN,28,2.90189308
2025/6/1,UK,63607,-0.404382602
2025/6/1,US,210818,-0.565086482
20250723,CN,1938,-0.613162783
20250723,UK,2333,-0.979208147
20250723,US,15405,-2.264651475
20250724,CN,3458,-0.811899476
20250724,UK,5045,-0.874136751
20250724,US,22530,-2.213914244
20250726,CN,1237,-0.314995502
20250726,UK,2458,-0.719289146
20250726,US,12486,-2.457517343
20250727,CN,1022,-0.389233157
20250727,UK,1721,-0.998345902
20250727,US,8035,-2.029143571
20250728,CN,2405,-0.713245057
20250728,UK,2379,-1.270418991
20250728,US,9590,-1.707140027
20250729,CN,2744,-0.3233503116723079
20250729,UK,2864,-1.6148015583047508
20250729,US,16047,-2.2642572695126137
20250730,CN,1723,-0.6825044170968854
20250730,UK,2826,-1.525089163996293
20250730,US,14295,-2.226875857582702
20250814,CN,821,-1.195568118678075
20250814,UK,813,-2.2117156502159467
20250814,US,9395,-2.2250261112861884
